Name of Dishes,Calories
Palak Paneer - (1 serve) (100g),470
Raita - (1 serve) (100g),60
Paneer bhurji - (1 serve) (100g),370
Drumstick veggie - (1 serve) (100g),85
lotus stem soup - (1 serve) (100g),320
Cajun potato - (1 serve) (100g),120
Tomato & Avocado Sandwich - (1 serve) (100g),157
Black bean-Tomato Chilli - (1 serve) (100g),161
Garlic Naan - (1 pc),93
Sweet potato curry with rice - (1 serve) (100g),500
Chana masala with rice - (1 serve) (100g),46
Veggie-loaded flatbread - (1 serve) (100g),623
